date,future_ret,signal_1,signal_1_missing,signal_2,signal_2_missing,signal_3,signal_3_missing,signal_4,signal_4_missing,signal_6,signal_6_missing
2020-03-18,0.14265238158812088,0.010886879,0,0.0,1,0.0,1,0.7878422,0,0.1539970189332962,0
2020-03-19,0.0074630377598228215,0.10240887,0,0.0,1,0.0,1,0.0,1,0.066544659435749,0
2020-03-20,-0.0034437435973430075,0.0077350806,0,0.0,1,0.0,1,-1.7179922,0,0.0158062018454074,0
2020-03-21,-0.05993069316532462,0.00952024,0,0.0,1,0.0,1,0.0,1,-0.0096528306603431,0
2020-03-22,0.11194957523739779,-0.035367712,0,0.0,1,0.0,1,0.22084588,0,-0.0229483917355537,0
2020-03-23,0.04289418630002273,0.09142667,0,0.0,1,0.0,1,0.0,1,-0.0274897590279579,0
2020-03-24,-0.009976692879763771,0.013296789,0,0.0,1,0.0,1,-2.113142,0,-0.0196162685751914,0
2020-03-25,0.0089750098466026,-0.0018839017,0,0.0,1,0.0,1,0.0,1,-0.0003096610307693,0
2020-03-26,-0.05614216844580078,0.008895119,0,0.0,1,0.0,1,-0.12565766,0,0.0294873341917991,0
2020-03-27,-0.01925741180762719,-0.03841516,0,0.0,1,0.0,1,0.0,1,0.0717372894287109,0
2020-03-28,-0.05695846327756082,0.0032185384,0,0.0,1,0.0,1,-2.5439854,0,0.1129857078194618,0
2020-03-29,0.0872170326213737,-0.050176155,0,0.0,1,0.0,1,0.0,1,0.144339382648468,0
2020-03-30,0.002511580481610265,0.070953295,0,0.0,1,0.0,1,-0.4623587,0,0.1498027443885803,0
2020-03-31,0.03626584134630395,0.004336673,0,0.0,1,0.0,1,0.0,1,0.1360442638397216,0
2020-04-01,0.022756558862668808,0.02617411,0,0.0,1,0.0,1,-1.5858606,0,0.1093859821557998,0
2020-04-02,-0.008829732900211718,0.002400498,0,0.0,1,0.0,1,0.0,1,0.0685304477810859,0
2020-04-03,0.018248912252565308,0.0019871816,0,0.0,1,0.0,1,-0.6376679,0,0.0264294482767581,0
2020-04-04,-0.012280898761701575,0.016397763,0,0.0,1,0.0,1,0.0,1,0.0232790261507034,0
2020-04-05,0.08225868845584827,-0.003815825,0,0.0,1,0.0,1,-1.5089949,0,0.0337531641125679,0
2020-04-06,-0.018087559175432144,0.04828622,0,0.0,1,0.0,1,0.0,1,0.0061493180692195,0
2020-04-07,0.022780701705634954,-0.016793067,0,0.0,1,0.0,1,0.15992741,0,-0.04499152302742,0
2020-04-08,-0.010560663362893408,0.010150451,0,0.0,1,0.0,1,0.0,1,-0.0584988668560981,0
2020-04-09,-0.05829857459422205,-0.012341589,0,0.0,1,0.0,1,-0.37014246,0,-0.0174512267112731,0
2020-04-10,0.0026111982644496656,-0.043817744,0,0.0,1,0.0,1,0.0,1,0.0345223359763622,0
2020-04-11,0.003920411003325741,0.014821734,0,0.0,1,0.0,1,0.31263405,0,0.053147092461586,0
2020-04-12,-0.00954258458035373,-0.0022045313,0,0.0,1,0.0,1,0.0,1,0.0448156148195266,0
2020-04-13,0.0045028378554266,0.0048481342,0,0.0,1,0.0,1,-0.4646083,0,0.0319989956915378,0
2020-04-14,-0.03602719583036096,-1.3686018e-05,0,0.0,1,0.0,1,0.0,1,0.0078164786100387,0
2020-04-15,0.07259969431707658,-0.029131388,0,0.0,1,0.0,1,0.4966597,0,0.0722735673189163,0
2020-04-16,-0.010474602714187875,0.044719696,0,0.0,1,0.0,1,0.0,1,0.086643673479557,0
2020-04-17,0.03145477442351896,-0.012556006,0,0.0,1,0.0,1,-0.9625249,0,0.0538755059242248,0
2020-04-18,-0.01763926827249407,0.019095559,0,0.0,1,0.0,1,0.0,1,0.0521967485547065,0
2020-04-19,-0.04127520454334799,-0.031021858,0,0.0,1,0.0,1,-0.021716133,0,0.0838357508182525,0
2020-04-20,0.002129831854609021,-0.04125591,0,0.0,1,0.0,1,0.0,1,0.1239393427968025,0
2020-04-21,0.04147853427018289,-6.843661e-05,0,0.0,1,0.0,1,-0.2917356,0,0.1546017378568649,0
2020-04-22,0.050139365682639214,0.044416983,0,0.0,1,0.0,1,0.0,1,0.1712189614772796,0
2020-04-23,0.0030217617632868343,0.031635173,0,0.0,1,0.0,1,0.85764873,0,0.1764465868473053,0
2020-04-24,0.004486342438374535,-0.0036587943,0,0.0,1,0.0,1,0.0,1,0.172559306025505,0
2020-04-25,0.020485045770673116,0.00077109504,0,0.0,1,0.0,1,-0.8251805,0,0.1647066175937652,0
2020-04-26,0.010596508559618245,0.0124022635,0,0.0,1,0.0,1,0.0,1,0.1517820954322815,0
2020-04-27,-0.004584146877918194,-0.0037721624,0,0.0,1,0.0,1,0.7767738,0,0.1392285525798797,0
2020-04-28,0.13433165610971987,0.011313576,0,0.0,1,0.0,1,0.0,1,0.1313993334770202,0
2020-04-29,-0.018063306438292348,0.11947282,0,0.0,1,0.0,1,0.49799168,0,0.1250889599323272,0
2020-04-30,0.024009280742459227,0.0014039748,0,0.0,1,0.0,1,0.0,1,0.1186991557478904,0
2020-05-01,0.016437142572301333,0.016496193,0,0.0,1,0.0,1,0.8683507,0,0.1064309775829315,0
2020-05-02,-0.008681405030065537,0.0107896505,0,0.0,1,0.0,1,0.0,1,0.0655533596873283,0
2020-05-03,-0.0024960198602229644,-0.007863379,0,0.0,1,0.0,1,0.5052784,0,0.0166310109198093,0
2020-05-04,0.016892546855486357,0.0020804198,0,0.0,1,0.0,1,0.0,1,-0.0074891224503517,0
2020-05-05,0.013421888907239499,0.023054492,0,0.0,1,0.0,1,1.1476506,0,0.0051587782800197,0
2020-05-06,0.09225499074693855,0.02154757,0,0.0,1,0.0,1,0.0,1,0.0214517787098884,0
2020-05-07,-0.018664383561643794,0.057507005,0,0.0,1,0.0,1,1.1981213,0,-0.0059924684464931,0
