date,vol_regime,macro_signal,macro_regime,tradable
2022-02-03,1.0,0.1290094256401062,0,1
2022-02-04,1.0,0.0626452416181564,0,1
2022-02-05,1.0,0.013069063425064,0,1
2022-02-06,1.0,-0.0151365473866462,1,0
2022-02-07,1.0,-0.0306363776326179,1,0
2022-02-08,1.0,-0.037974901497364,1,0
2022-02-09,1.0,-0.0332930758595466,1,0
2022-02-10,1.0,-0.0188992545008659,1,0
2022-02-11,1.0,-0.0301237031817436,1,0
2022-02-12,1.0,-0.0643089339137077,1,0
2022-02-13,1.0,-0.0971078053116798,1,0
2022-02-14,1.0,-0.133598655462265,1,0
2022-02-15,1.0,-0.1475394368171692,1,0
2022-02-16,1.0,-0.1312759816646576,1,0
2022-02-17,1.0,-0.0996764674782753,1,0
2022-02-18,1.0,-0.0718911215662956,1,0
2022-02-19,1.0,-0.0306159183382987,1,0
2022-02-20,1.0,0.025283396244049,0,1
2022-02-21,1.0,0.0952874720096588,0,1
2022-02-22,1.0,0.1569351404905319,0,1
2022-02-23,1.0,0.167462021112442,0,1
2022-02-24,1.0,0.1190217956900596,0,1
2022-02-25,1.0,0.0607136487960815,0,1
2022-02-26,1.0,0.0204171072691679,0,1
2022-02-27,1.0,-0.0171839445829391,1,0
2022-02-28,1.0,-0.0470055490732193,1,0
2022-03-01,1.0,-0.0741644352674484,1,0
2022-03-02,1.0,-0.0870857015252113,1,0
2022-03-03,1.0,-0.0723423585295677,1,0
2022-03-04,1.0,-0.0548908412456512,1,0
2022-03-05,1.0,-0.0409260094165802,1,0
2022-03-06,1.0,-0.0246378034353256,1,0
2022-03-07,1.0,-0.0081625133752822,1,0
2022-03-08,1.0,-0.0010125525295734,1,0
2022-03-09,1.0,0.0148060023784637,0,1
2022-03-10,1.0,0.0320659168064594,0,1
2022-03-11,1.0,0.0466865561902523,0,1
2022-03-12,1.0,0.0537378564476966,0,1
2022-03-13,1.0,0.0578311458230018,0,1
2022-03-14,1.0,0.0542451962828636,0,1
2022-03-15,1.0,0.0486604645848274,0,1
2022-03-16,1.0,0.0520185157656669,0,1
2022-03-17,1.0,0.0651388168334961,0,1
2022-03-18,1.0,0.0785303637385368,0,1
2022-03-19,1.0,0.0970195531845092,0,1
2022-03-20,1.0,0.1113914772868156,0,1
2022-03-21,1.0,0.1172573789954185,0,1
2022-03-22,1.0,0.1121514737606048,0,1
2022-03-23,1.0,0.0974200516939163,0,1
2022-03-24,1.0,0.0745002180337905,0,1
2022-03-25,1.0,0.0543047934770584,0,1
2022-03-26,1.0,0.0343533009290695,0,1
2022-03-27,1.0,0.0138792023062706,0,1
2022-03-28,1.0,-0.0052825585007667,1,0
2022-03-29,1.0,-0.0203701704740524,1,0
2022-03-30,1.0,-0.0341157913208007,1,0
2022-03-31,1.0,-0.0496413558721542,1,0
2022-04-01,1.0,-0.0672438144683837,1,0
2022-04-02,1.0,-0.0864418372511863,1,0
2022-04-03,1.0,-0.1076879128813743,1,0
2022-04-04,1.0,-0.1226295307278633,1,0
2022-04-05,1.0,-0.1249145194888114,1,0
2022-04-06,1.0,-0.1092871651053428,1,0
2022-04-07,1.0,-0.0904397293925285,1,0
2022-04-08,1.0,-0.0689416080713272,1,0
2022-04-09,1.0,-0.0450130701065063,1,0
2022-04-10,1.0,-0.0215035900473594,1,0
2022-04-11,1.0,-0.0021893680095672,1,0
2022-04-12,1.0,0.0095846839249134,0,1
2022-04-13,1.0,0.0127751007676124,0,1
2022-04-14,1.0,0.0082223080098629,0,1
2022-04-15,1.0,-0.0012228339910507,1,0
2022-04-16,1.0,-0.0135352164506912,1,0
2022-04-17,1.0,-0.0257301777601242,1,0
2022-04-18,1.0,-0.034988448023796,1,0
2022-04-19,1.0,-0.03920728713274,1,0
2022-04-20,1.0,-0.0390677452087402,1,0
2022-04-21,1.0,-0.0367106944322586,1,0
2022-04-22,1.0,-0.0376202911138534,1,0
2022-04-23,1.0,-0.0402762070298194,1,0
2022-04-24,1.0,-0.0342341661453247,1,0
2022-04-25,1.0,-0.0255774110555648,1,0
2022-04-26,1.0,-0.017963670194149,1,0
2022-04-27,1.0,-0.0276127830147743,1,0
2022-04-28,1.0,-0.040938876569271,1,0
2022-04-29,1.0,-0.0628223195672035,1,0
2022-04-30,1.0,-0.1012852117419242,1,0
2022-05-01,1.0,-0.1408085227012634,1,0
2022-05-02,1.0,-0.188079684972763,1,0
2022-05-03,1.0,-0.2218595445156097,1,0
2022-05-04,1.0,-0.2312628626823425,1,0
2022-05-05,1.0,-0.2070557475090026,1,0
2022-05-06,1.0,-0.1765275001525879,1,0
2022-05-07,1.0,-0.1278292536735534,1,0
2022-05-08,1.0,-0.0770560130476951,1,0
2022-05-09,1.0,-0.031327985227108,1,0
2022-05-10,1.0,-0.0027893744409084,1,0
2022-05-11,1.0,0.0155649855732917,0,1
2022-05-12,1.0,0.0138412453234195,0,1
2022-05-13,1.0,-0.0019278526306152,1,0
2022-05-14,1.0,-0.0115789696574211,1,0
2022-05-15,1.0,-0.0199729278683662,1,0
2022-05-16,1.0,-0.024460919201374,1,0
2022-05-17,1.0,-0.0215612798929214,1,0
