date,future_ret,signal_1,signal_1_missing,signal_2,signal_2_missing,signal_3,signal_3_missing,signal_4,signal_4_missing,signal_6,signal_6_missing,direction
2018-07-12,-0.0057594747359041,-0.012944851,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-07-13,0.0060213337366865,-0.005336584,0,0.0,1,0.0,1,-0.53560954,0,0.0,1,1
2018-07-14,0.0161580552752005,-0.00028904388,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-07-15,0.0582936277449586,-0.001868638,0,0.0,1,0.0,1,0.6293624,0,0.0,1,1
2018-07-16,0.0883622003911739,0.004416151,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-07-17,0.0088090917042025,0.0060501746,0,0.0,1,0.0,1,0.5766926,0,0.0,1,1
2018-07-18,0.0114211788292988,0.005122072,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-07-19,-0.0172349826752797,0.0009962912,0,0.0,1,0.0,1,1.1500889,0,0.0,1,0
2018-07-20,0.0083474956831521,-0.0023126171,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-07-21,-0.0005392780971997,0.00019325735,0,0.0,1,0.0,1,-0.76695806,0,0.0,1,0
2018-07-22,0.0441148430178544,-0.0051973546,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-07-23,0.0875831011745871,0.014393839,0,0.0,1,0.0,1,1.102208,0,0.0,1,1
2018-07-24,-0.0263896232571654,0.016476467,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-07-25,-0.0312685000807276,0.0047540697,0,0.0,1,0.0,1,1.3335937,0,0.0,1,0
2018-07-26,0.0339103535353535,0.004919117,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-07-27,0.0044537690952146,0.0041529112,0,0.0,1,0.0,1,0.9388888,0,0.0,1,1
2018-07-28,-0.0017069825800239,0.0033821636,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-07-29,-0.0045158933138472,-0.0049997573,0,0.0,1,0.0,1,-0.19952135,0,0.0,1,0
2018-07-30,-0.0541955389825199,-0.0014391225,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-07-31,-0.0163434412159986,-0.005301708,0,0.0,1,0.0,1,1.4771088,0,0.0,1,0
2018-08-01,-0.010371381456964,0.0029761347,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-08-02,-0.0142086261628471,-0.0073168445,0,0.0,1,0.0,1,0.01737304,0,0.0,1,0
2018-08-03,-0.0551222707776749,-0.005197107,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-08-04,0.0020471223308948,-0.012179341,0,0.0,1,0.0,1,1.1458207,0,0.0,1,1
2018-08-05,-0.0127231751988485,0.0011807091,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-08-06,-0.0309683596690324,-0.005083029,0,0.0,1,0.0,1,-0.06904517,0,0.0,1,0
2018-08-07,-0.0647404933884518,-0.007156018,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-08-08,0.0389482895783612,-0.0047958908,0,0.0,1,0.0,1,1.1858739,0,0.0,1,1
2018-08-09,-0.0590800010413811,0.0058503626,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-08-10,0.0143782318062632,-0.01596732,0,0.0,1,0.0,1,0.11099912,0,0.0,1,1
2018-08-11,0.0121912280279508,-0.0026448783,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-08-12,-0.0098251042668978,0.002215695,0,0.0,1,0.0,1,1.2086657,0,0.0,1,0
2018-08-13,-0.0093286479303914,-0.005321296,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-08-14,0.0127794081524479,0.0034286254,0,0.0,1,0.0,1,0.5904935,0,0.0,1,1
2018-08-15,0.0071148654254877,-0.0018157903,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-08-16,0.0432114706697825,0.0041993163,0,0.0,1,0.0,1,1.2115788,0,0.0,1,1
2018-08-17,-0.0298474141505263,-0.00079740805,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-08-18,0.0140216908058283,-0.012884269,0,0.0,1,0.0,1,-0.3004712,0,0.0,1,1
2018-08-19,-0.0343788450227169,0.0024226697,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-08-20,0.0359977233630277,-0.014648606,0,0.0,1,0.0,1,0.95986354,0,0.0,1,1
2018-08-21,-0.0183811728395061,0.023102652,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-08-22,0.0258014208703498,-0.010117314,0,0.0,1,0.0,1,0.30715394,0,0.0,1,1
2018-08-23,0.0240045609125503,0.004855861,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-08-24,0.0077825204590489,0.015127312,0,0.0,1,0.0,1,1.0111135,0,0.0,1,1
2018-08-25,-0.0049958120719254,0.0033579266,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-08-26,0.0311402985074626,-0.0029966596,0,0.0,1,0.0,1,-0.7134529,0,0.0,1,1
2018-08-27,0.0242406609694525,0.006628379,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-08-28,-0.0063438810306791,0.005277331,0,0.0,1,0.0,1,1.2266626,0,0.0,1,0
2018-08-29,-0.0065962948108578,0.005052307,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-08-30,0.0037753191196934,0.00031344988,0,0.0,1,0.0,1,0.6708801,0,0.0,1,1
2018-08-31,0.0269283048147181,0.00087590795,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-09-01,0.0141666469907679,-0.0020538229,0,0.0,1,0.0,1,0.51279706,0,0.0,1,1
2018-09-02,-0.0053396256647142,-0.0025535168,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-09-03,0.0132231495989272,0.0025180501,0,0.0,1,0.0,1,-0.08035065,0,0.0,1,1
2018-09-04,-0.0895576337195239,-0.0029666037,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-09-05,-0.0274611940298507,-0.015576891,0,0.0,1,0.0,1,1.1481198,0,0.0,1,0
2018-09-06,-0.0184883080289932,0.0017793374,0,0.0,1,0.0,1,0.0,1,0.0,1,0
